shadjamam|షడ్జమం  
Bhajana Seyarada|భజన సేయరాదా
Bhajana Seyave Baguga|భజన సేయవె బాగుగ
Bhajana Seyave Manasa|భజన సేయవె మనస
Bhajana parula|భజన పరుల
Bhajana seyave|భజన సేయవే
Bhajana seyu margamunu|భజన సేయు మార్గమును
Bhajanai Sheivai|భజనై షైవై
Bhajanaseya Rada|భజనసేయ రాదా
Bhajanaseyu Margamu|భజనసేయు మార్గము 
Bhajare Bhaja Manasa|భజరే భజ మనస 
Bhajare Manasa|భజరే మనస 
Bhajare Manasa Shri|భజరే మనస శ్రీ
Bhajare Raghuviram|భజరే రఘువీరం
Bhajare Re Bhaja Manasa|భజరే రే భజ మనస
Bhajare Re Citta Balambikam|భజరే రే చిత్త బాలంబికం 
Bhajare Re Manasa Mardinim|భజరే రే మానస మర్దినీమ్
Bhajare Re Manasa Shri|భజరే రే మనస శ్రీ
Bhajare bhaja maanasa|భజరే భజ మానస
Bhajare gopaalam|భజరే గోపాలం
Bhajare raghuveeram|భజరే రఘువీరమ్
Bhajare re citta|భజరే రే చిత్త
Bhajare re maanasa|భజరే రే మానస 
Bhajare shree raamacandram|భజరే శ్రీ రామచంద్రం
Bhajare shreekantheshwaram|భజరే  శ్రీకాంతేశ్వరం 
Bhajare shreeraamam|భజరే శ్రీరామం
Bhajare yadunaatham|భజరే యదునాథం
Bhajasva Shri Tripurasundari|భజస్వ శ్రీ త్రిపురసుందరి
Bhaktapaarayana|భక్తపారాయణ 
Bhaktavatsalaa|భక్తవత్సలా
Bhaktavatsalam Abhisekavalli|భక్తవత్సలం అభిసేకవల్లి
Bhakti Biccamiyyave|భక్తి బిచ్చమియ్యవే
Bhakti bicchamiyyave bhaavukamagu saattvika|భక్తి బిచ్చమియ్యవె భావుకమగు సాత్విక
Bhakti koladivade paramaatmudu|భక్తి కొలదివదే పరమాత్ముడు
Bhakti minsaaram|భక్తి మినసారం 
Bhaktuni Caritramu Vinave|భక్తుని చరితము వినవే
Bhaktuni caaritramu|భక్తుని చరిత్రము
Bhandaasura|భండాసుర
Bhandasura Vimardhini|భండాసుర విమర్ధిని
Bharama I Baluni|భారమా ఈ బాలుని
Bharata Mata|భరత మాత 
Bharati Mamava|భారతి మమవ
Bhargam pashupatim|భర్గం పాశుపతిం
Bhasurangi Bale|భాసురంగి బలే 
Bhava paasha|భావ పాష 
Bhavadiya Katha|భవదీయ కథ 
Bhavaname Maha|భవనమే మహా 
Bhavanuta Na Hridayamuna|భవనుత న హ్రదయమున
Bhavanuta naa|భవనుత నా
Bhavasagaram Karai|భవసాగరం కరై
Bhavasannuta|భవసన్నుత
Bhavati Visvaso|భవతి విస్వసో
Bhavayacyutam Vasudevam|భావయచ్యుతం వాసుదేవం 
Bhavayami Ragahuramam|భావయామి రఘురామం
Bhavaye Gopabalam|భావయే గోపాబాలం
Bhavaye Sarasijanabham|భావయే సరసిజనభం
Bhavayeham Raghuviram|భావయేహమ్ రఘువీరం
Bhayasamaya (geetam)|భయసమయ (గీతం) 
Bheemam bhajeham|భీమం భజేహం
Bherundaambe|భేరుందంబె
Bherundambe Beduve|భేరుందంబె బెదువె
Bhiksatana Vesamu Nikeelanayya|భిక్షాటన వేసాము నీకేలనయ్య 
Bho shambho|భో శంభో
Bhogachaya Natakapriye|భోగఛాయ నాటకప్రియే
Bhogeendra shaayinaam|భోగీంద్ర శాయినాం 
Bhogendrasayinam|భోగీంద్రశాయినాం
Bhoobhaaramati|భూభారమతి
Bhootanaatha|భూతనాధ
Bhujaga Shayino|భుజగ షయినో
Bhujanga bhushana|భుజంగ భూషన
Bhuri Bhagyalahari|భూరి భాగ్యలహరి
Bhusavatim Manju Bhasavatim|భుసవతిమ్ మంజు భాసవతిమ్ 
Bhutapataye|భూతపతయే
Bhuvanaatrayanutam|భువనాత్రయనుతం
Bhuvanatraya Sammohanakara|భువనాత్రయ సమ్మోహనకర 
Bhuvanatraya sammohanakara|భువనాత్రయ సమ్మోహనకర
Bhuvaneshvari Padam|భువనేశ్వరి పదం 
Bhuvaneshvari Pahimam|భువనేశ్వరి పాహిమాం
Bhuvaneshwariya|భువనేశ్వరీయ
Bhuvaneshwariyaa|భువనేశ్వరీయా
Bhuvini Dasudane Perasace|భువిని దాసుడనే పెరసచే 
Bhuvini daasudane|భువిని దాసుడనే
Bindu Peetha|బిందు పీత 
Bindu peetha|బిందు పీత 
Biraana brova idi|బిరాన  బ్రోవ ఇది
Birana Varalicci Brovumu|బిరన వరలిచ్చి బ్రోవుము
Brahma kadigina|బ్రహ్మ కడిగిన
Brahmai vaaham|బ్రహ్మాయి  వాహం
Brahmanda Valaye|బ్రహ్మాండ వలయే
Bratukanta Cinte|బ్రతుకంత చింతె
Brhadamba Madamba Jayati|బ్రహదంబ మదంబ జయతి
Brhadambikayai|బ్రహదంబికాయై 
Brhadishvara Mahadeva|బ్రహదీశ్వర మహాదేవ
Brhadishvaraya Namaste|బ్రహదీశ్వరాయ నమస్తే
Brhadishvaro Raksatu Mam|బ్రహదీశ్వరో రక్షతు మం
Brhannayaki Varadayaki|బ్రహన్నాయకి వరదాయకి
Brhaspate Tarapate Brahmajate|బ్రహస్పతే తారాపతే బ్రహ్మజతే
Brindaavana lola|బృదావన లోల
Brndavanalola Govinda|బృదావనలోల గోవింద
Brocevaarevare|బ్రోచెవారేవరే
Brocevaarevaruraa|బ్రోచెవారేవరురా
Brocevarevare Raghupate|బ్రోచెవారేవరే రఘుపతే
Brocevarevarura Ninnu|బ్రోచెవారేవరురా నిన్ను
Brochutakevarunnaru Paramatma Ninnuvina|బ్రోచుటకెవరున్నారు పరమాత్మ నిన్నువిన
Broohi mukundeti|బ్రూహీ ముకుందేతి 
Brova Bharama Raghurama|బ్రోవ భారమా రఘురామ
Brova Samayamide|బ్రోవ సమయమిదే
Brova Samayamide Devi|బ్రోవ సమయమిదే దేవి
Brova bhaaramaa|బ్రోవ భారమా
Brovanu Rara|బ్రోవను  రారా
Brovavamma Bangaru Bomma|బ్రోవవమ్మ  బంగారు బొమ్మ
Brovavamma Tamasamela|బ్రోవవమ్మ తమసమేల
Brovu Brovu Manine Vedite|బ్రోవు బ్రోవు మనినె వేడితే
Buddhi Radu Buddhi Radu|బుద్ధి రాదు బుద్ధి రాదు
Buddhi devi|బుద్ధి దేవి
Buddhi raadu|బుద్ధి రాదు
Budhamashrayami Satatam|బుధమాశ్రయమి  సతతం
Caaladaa hari naama|చాలదా హరి నామ
Caalu caalu|చాలు చాలు
Cakkani Rajamargamu|చక్కని రాజమార్గము
Cakkani raaja|చక్కని రాజ
Cakraraajara|చక్రరాజర
Cakrarajara Dharude|చక్రరాజర ధరుడె
Cakreshi Devi|చక్రేషి దేవి 
Cakreshi devi|చక్రేషి దేవి
Calakalladukonna Soukhyamemira|చలకల్లాడుకున్న సౌఖ్యమేమిరా 
Calamela|చలమేల
Calamela (varnam)|చలమేల (వర్ణం)
Calamela Jesevura-varnam|చలమేల జేసేవురా-వర్ణం
Calamela cesevu (taana varnam)|చలమేల చేసేవు (తాన వర్ణం)
Calamela-varnam|చలమేల-వర్ణం
Calamelara Napai|చలమేల నాపై
Calamelara Saketa Rama|చలమేల సాకేత రామ
Calamelaraa|చలమేలరా
Calamu Jesina-varnam|చలమేల జేసిన-వర్ణం
Caliye Kunjan Mo|చలియె కుంజన్  మొ 
Callaga naato|చల్లగా నాతొ
Callaganato Balkumi|చల్లగానాతొ బల్కుమి 
Callare Ramachandru|చల్లరే రామచంద్రు
Callare raamacandru|చల్లరే రామచంద్రు
Calu Calu Ni Yuktulu|చాలు చాలు నీ యుక్తులు
Canda Munda|చండ ముండ
Canda munda|చండ ముండ
Candike Shri|చండికే శ్రీ
Candike shree|చండికే శ్రీ
Candirane|చండిరానే 
Candra Mandala|చంద్ర మండల
Candra Rekha|చంద్ర రేఖ
Candra kalaavadamsam|చంద్ర కళావదంసం  
Candra mandala|చంద్ర మండల
Candra rekhaa|చంద్ర రేఖా
Candracooda|చంద్రచూడ
Candram Bhaja Manasa|చంద్రం భజ మనస
Candram bhaja|చంద్రం భజ
Candram bhaje|చంద్రం భజే
Candrashekharam Sada Bhajeham|చంద్రశేఖరం సద భజేహం 
Cani Todi Teve O Manasa|చని తోడి తేవె ఓ మనస
Cani todi teve|చని తోడి తేవె
Caphalamu maani|చఫలము  మాని
Caraacara jagadroope|చరాచర జగద్రూపే 
Caracara Jagadroope|చరాచర జగద్రూపే
Caranam Caranam|చరణం చరణం 
Caranamule Nammiti|చరణములే నమ్మితి
Caranamule nammiti|చరణములే నమ్మితి
Caranu caranu surendra|చరను చరను  సురేంద్ర
Caturdasa bhuvana roopa (shree vishwanaatam bhajeham)|చతుర్దశ  భువన రూపా (శ్రీ విశ్వనాధం భజేహమ్)
Catushashtyupasharadye|చతుషష్ట్యుపశరద్య్ 
Catushhshhashhtyupasharaadye|చతూష్షాష్ట్యుపశారాధయే 
Cede Buddhi Manura|చెడే  బుద్ధి మానురా 
Cede buddhi maanuraa| చెడే బుద్ధి మనుర
Cedipoke O|చెడిపోకే ఓ
Cedipoke o|చెడిపోకే ఓ
Cel pattazhindadu (tiruppugazh)|చెల్  పట్టాజ్హిండదు (తిరుప్పాగజః)
Celimini Jalajaksu Gante|చెలిమిని జలజక్సు గంతే 
Celimini jalajaakshhu|చెలిమిని జలజాక్షిహు 
Celiya Pai-varnam|చెలియ పై-వర్ణం
Celiya pai  (varnam)|చెలియ పై (వర్ణం)
Centa Dircci|చింత దీర్చి
Centa deercci|చింత దీర్చి
Centane Sada Yunchukovayya|చెంతనే సదా యెంచుకోవయ్యా
Centane sadaa|చెంతనే సదా
Cera Ravademira Ramayya|చేర రావదేమిరా రామయ్య
Cera raavademiraa|చేర రావదేమీరా
Ceri yashodaku|చేరి యశోదకు
Cesinadella|చేసినదెల్ల 
Cesinadella Maracitivo|చేసినదెల్ల  మరచితివో
Cetaha Shri Balakrsnam|చేతహ శ్రీ బాలకృష్ణం
Cetaha shree raamam|చేతహ శ్రీ రామం
Cetulaara shrngaaramu|చేతులార ష్రన్గారము 
Cetulara Shringaramu|చేతులారా శింగరము 
Cetulara Shrngaramu|చేతులారా ష్రన్గారము
Chaaruvikrama|చారువిక్రమ
Chaayaa devi|ఛాయా దేవి
Chandrashekhara Sarasvatiye|చంద్రశేఖర సరస్వతియే
Chandrashekharam|చంద్రశేఖరం
Chaya Devi|ఛాయా దేవి
Chidambaranai Digambaranai|చిదంబరనై  దిగంబరనై 
Chintayami Satatam Hastivadanam|చింతయామి సతతం హస్తివాదనం
Chirakalam Nammitini|చిరకాలం నమ్మితిని
Cidagni Kunda|చిదాగ్ని కుండ
Cidagni kunda|చిదాగ్ని కుండ
Cidambara Darishanama|చిదంబర దరిశనమ
Cidambara Nataraja Murtim|చిదంబర నటరాజ మూర్తిం
Cidambaram|చిదంబరం
Cidambaram Ena Manam|చిదంబరం ఎన మనమ్
Cidambaram Enrorutaram|చిదంబరం ఎన్రోరుతరం
Cidambaram Harahara|చిదంబరం హరహర
Cidambaram Poghamal|చిదంబరం పోఘమల్
Cidambaram Poi|చిదంబరం పోయి
Cidambaram ena ninaivaai|చిదంబరం ఏన నిన్నైవాయ్
Cinna Cinna Padam|చిన్న చిన్న పదం 
Cinna cinna paapaa|చిన్న చిన్న పాపా
Cinna cinna padam vaittu|చిన్న చిన్న పదం  వైత్తు 
Cinna naade|చిన్న నాడే
Cinnanade Na Ceyi Battitivi|చిన్ననాడే నా చేయి బట్టితివి
Cinnanjiru kiliye|చిన్నంజీరు కిలియె
Cinnanunti (varnam)|చిన్నానుంటి (వర్ణం)
Cintaa naastikila|చింత నాస్తికిల
