shadjamam|షడ్జమం 
Bhajare Re Bhaja Manasa|భజరే రీ భజ మానస
Bhajare Re Citta Balambikam|భజరే రీ చిత్తా బాలంబికాం
Bhajare Re Manasa Mardinim|భజరే పునః మానస మర్దినీమ్
Bhajare Re Manasa Shri|భజరే రీ మానస శ్రీ
Bhajare bhaja maanasa|భజే భజ మనాస
Bhajare gopaalam|భజనే గోపలం
Bhajare raghuveeram|భజనే రఘువీరమ్
Bhajare re citta|భజరే రీ చిత్తా
Bhajare re maanasa|భజరే రీ మనాసా
Bhajare shree raamacandram|భజనే శ్రీ రామానచంద్రం
Bhajare shreekantheshwaram|భజనే శ్రుతీకంఠేశ్వరం
Bhajare shreeraamam|భజనే శ్రీనివామమ్
Bhajare yadunaatham|భజనే యదనునాథం
Bhajasva Shri Tripurasundari|భజస్వ శ్రీ త్రిపురసుందరి
Bhaktapaarayana|భక్తనారాయణ
Bhaktavatsalaa|భక్తవత్సలా
Bhaktavatsalam Abhisekavalli|భక్తవత్సలం అభిసేవకవల్లి
Bhakti Biccamiyyave|భక్తి బిచ్చయ్యవే
Bhakti bicchamiyyave bhaavukamagu saattvika|భక్తి బిచ్చమియ్యవె భవుకంబగు సాత్విక
Bhakti koladivade paramaatmudu|భక్తి కొలదిదే పరమాత్ముడు
Bhakti minsaaram|భక్తి మిసరాం
Bhaktuni Caritramu Vinave|భక్తుని చరితము వినవే
Bhaktuni caaritramu|భక్తుని చరాటితరము
Bhandaasura|భండాసుర
Bhandasura Vimardhini|భండసుర విమర్ధిని
Bharama I Baluni|భారమా నేను బాలుని
Bharata Mata|భరత మాత
Bharati Mamava|భారతి మామవ
Bhargam pashupatim|భర్గం పాశుపతామ్
Bhasurangi Bale|భసురంగి బలే
Bhava paasha|భవ పష
Bhavadiya Katha|భవదీయ కథ
Bhavaname Maha|పవనమే మహా
Bhavanuta Na Hridayamuna|పవనుత నా హ్రదయమున
Bhavanuta naa|పవనుత నా
Bhavasagaram Karai|భవసాగరం కరవై
Bhavasannuta|భవసన్నుత
Bhavati Visvaso|భవతి విస్వసో
Bhavayacyutam Vasudevam|భవాచ్యుతం వాసుదేవం
Bhavayami Ragahuramam|భవయమి రఘువ్రమం
Bhavaye Gopabalam|భవయే గోపబలం
Bhavaye Sarasijanabham|భవయే సరసిజనాభం
Bhavayeham Raghuviram|భవయేహమ్ రఘువీరం
Bhayasamaya (geetam)|భవ్యమయా (గీతాచారం)
Bheemam bhajeham|భీమ భజేం
Bherundaambe|భహేన్దంబే
Bherundambe Beduve|భహేన్దమ్మే బెదువె
Bhiksatana Vesamu Nikeelanayya|భిక్షన వేషము నిక్కెలనయ్య
Bho shambho|భో శంభో
Bhogachaya Natakapriye|భోగచయ నాటకప్రియే
Bhogeendra shaayinaam|భోగేంద్ర శాయినాం
Bhogendrasayinam|భోగేంద్రసాయినమ్
Bhoobhaaramati|భూతభవిష్యతి
Bhootanaatha|భూతనాధ
Bhujaga Shayino|భుజగ షాయినో
Bhujanga bhushana|భుజింగ భుషన
Bhuri Bhagyalahari|భూరి భాగ్యలహరి
Bhusavatim Manju Bhasavatim|భుసావతిఁ మంజు భసవతిఁ
Bhutapataye|భూతపతయే
Bhuvanaatrayanutam|భువనఆత్మయుతం
Bhuvanatraya Sammohanakara|భువనత్రయ సమ్మోహకర
Bhuvanatraya sammohanakara|భువనత్రయ సమ్మోహకర
Bhuvaneshvari Padam|భువనేశ్వరి పదమ్
Bhuvaneshvari Pahimam|భువనేశ్వరి పాహిమాం
Bhuvaneshwariya|భువనేశ్వరీయ
Bhuvaneshwariyaa|భువనేశ్వర్యా!
Bhuvini Dasudane Perasace|భువిని దరునే పెససె
Bhuvini daasudane|భువిని దాసుడనే
Bindu Peetha|బిందు పీఠ
Bindu peetha|బిందు పీఠ
Biraana brova idi|బిరన బ్రోవ మిడి
Birana Varalicci Brovumu|బిరన వరలొచ్చి బ్రోవుము
Brahma kadigina|బ్రహ్మ కడిగిన
Brahmai vaaham|బ్రాహ్మీ వాహం
Brahmanda Valaye|బ్రహ్మాండ వలయే
Bratukanta Cinte|బ్రతుకంత చిందె
Brhadamba Madamba Jayati|బ్రహదంబ మదంబ జయతి
Brhadambikayai|బ్రహదంబైయాయి
Brhadishvara Mahadeva|బ్రహదీశ్వర మహాదేవ
Brhadishvaraya Namaste|బ్రహదీశ్వరాయ నమస్తే
Brhadishvaro Raksatu Mam|బ్రహదిశవరో రక్షతు మం
Brhannayaki Varadayaki|బ్రహన్నయకి వరదయ్యకి
Brhaspate Tarapate Brahmajate|బ్రహస్పతే తారాపతే బ్రహ్మజతే
Brindaavana lola|బృదవన లోల
Brndavanalola Govinda|బృన్దవలోల గోవింద
Brocevaarevare|బ్రోవేవరేవరే
Brocevaarevaruraa|బ్రోవవేంకటేశ
Brocevarevare Raghupate|బ్రోవేవరేవరే రఘుపతే
Brocevarevarura Ninnu|బ్రోవెవరేవరురా నిన్ను
Brochutakevarunnaru Paramatma Ninnuvina|బ్రోచుటవరారునరు పరమాత్మ నిన్నువిన
Broohi mukundeti|బ్రూహీ ముకుదేతి
Brova Bharama Raghurama|బ్రోవ భారమా రఘురామా
Brova Samayamide|బ్రోవ సమయమిదే
Brova Samayamide Devi|బ్రోవ సమయమిదే దేవి
Brova bhaaramaa|బ్రోవ భయరమణా
Brovanu Rara|బ్రోవనూ రారా
Brovavamma Bangaru Bomma|బ్రోవవమ్మ బంగారు బొమ్మ
Brovavamma Tamasamela|బ్రోవవమ్మ తమసామేలా
Brovu Brovu Manine Vedite|బ్రోవు బ్రోవు మన్ను వీడితే
Buddhi Radu Buddhi Radu|బుద్ధి రండు బుద్ధి రండు
Buddhi devi|బుద్ధి దేవి
Buddhi raadu|బుద్ధి రదు
Budhamashrayami Satatam|బుధమాశ్రయామి సతతం
Caaladaa hari naama|చండాలదా హరి నమ
Caalu caalu|చాయలు చాయలు
Cakkani Rajamargamu|చక్కాని రాజమరగము
Cakkani raaja|చక్కాని రాజ
Cakraraajara|చక్రరాజర
Cakrarajara Dharude|చక్రరాజర ధరుడె
Cakreshi Devi|చక్రాషి దేవి
Cakreshi devi|చక్రాషి దేవి
Calakalladukonna Soukhyamemira|కాలకెల్లదుకన్న సౌఖ్యమేమిరా
Calamela|Calamela
Calamela (varnam)|Calamela (వర్ధనం)
Calamela Jesevura-varnam|విపత్మేల జేసెరా-వర్ణనమ్
Calamela cesevu (taana varnam)|కలమేల సేసేవు (తనా వర్ణనమ్)
Calamela-varnam|Calamela-వర్ణనం
Calamelara Napai|కలమెలర నబాయి
Calamelara Saketa Rama|కల్మెలార సకేత రామ
Calamelaraa|Calamelaraa
Calamu Jesina-varnam|కాలము జేసిన-వర్ణనము
Caliye Kunjan Mo|కాలియె కుంజన్ మో
Callaga naato|కాల్ గ నాతొ
Callaganato Balkumi|కాలగనాథతో బల్కుమీ
Callare Ramachandru|కల్లే రామచంద్రు
Callare raamacandru|కల్లే రామాచ్ఛంద్రు
Calu Calu Ni Yuktulu|కాలును కాల్ను నీ యుక్తులు
Canda Munda|Canda ముండ
Canda munda|Canda ముండ
Candike Shri|కాన్తికే శ్రీ
Candike shree|కాన్తికే శ్రీ
Candirane|కాన్రణే
Candra Mandala|చంద్రమండల
Candra Rekha|చంద్రరేఖ
Candra kalaavadamsam|చంద్రకళావధాసం
Candra mandala|చంద్రమండల
Candra rekhaa|చంద్రా రేఖా
Candracooda|చంద్రకూట
Candram Bhaja Manasa|చంద్రం భజ మానస
Candram bhaja|చంద్రం భజ
Candram bhaje|చంద్రం భజే
Candrashekharam Sada Bhajeham|చంద్రశేఖరమ్ సదా భజేహమ్
Cani Todi Teve O Manasa|కానరాని తోడి తేవె ఓ మనసా
Cani todi teve|కానరాని తోడి తేవె
Caphalamu maani|కప్పలము మహిని
Caraacara jagadroope|చరాచరర జగదాోపె
Caracara Jagadroope|చరాచరర జగదాోపె
Caranam Caranam|చరణము చరణము
Caranamule Nammiti|చరణనములే నమ్మితి
Caranamule nammiti|చరణనములే నమ్మితి
Caranu caranu surendra|చరణములను శరణు సురేంద్ర
Caturdasa bhuvana roopa (shree vishwanaatam bhajeham)|చతుర్దస భువన రూపా (శ్రీ విశ్వనాధం భజేహమ్)
Catushashtyupasharadye|చతుష్పాష్ట్యనుపశారధే
Catushhshhashhtyupasharaadye|చతుష్షహ్హహ్త్యుపాశరధయే
Cede Buddhi Manura|చేడె బుద్ధి మానురా
Cede buddhi maanuraa|చేడె బుద్ధి మానురాగ
Cedipoke O|Cedipoke ఓ
Cedipoke o|Cedipoke ఓ
Cel pattazhindadu (tiruppugazh)|సెల్ పట్టాజ్హిన్దు (తిరుప్పాగజః)
Celimini Jalajaksu Gante|చెలిమిని జలజక్సు గంతే
Celimini jalajaakshhu|చెలమిమిని జలజాక్షు
Celiya Pai-varnam|చెలియా పాయ్-వర్ణనం
Celiya pai  (varnam)|చెలియ పాయ్ (వర్ధనం)
Centa Dircci|సెంటా డిక్కీ
Centa deercci|సెంటా డీయెర్చీ
Centane Sada Yunchukovayya|సెంటనే సదా యెంచుకోవయ్యా
Centane sadaa|సెంటనే సతా
Cera Ravademira Ramayya|చేరా రావదేమిరా రామయ్య
Cera raavademiraa|చేరా రావాదేమీరాడ
Ceri yashodaku|శేరి యశోధకు
Cesinadella|సినేడెల్ల
Cesinadella Maracitivo|సిసనిదెల్లా మరీనాసివో
Cetaha Shri Balakrsnam|చేతాహ శ్రీ Balakrsnam
Cetaha shree raamam|చేతాహ శ్రీ రమం
Cetulaara shrngaaramu|చేతులార ష్రన్గారము
Cetulara Shringaramu|చేతులార శృంగారము
Cetulara Shrngaramu|చేతులార ష్రన్గారము
Chaaruvikrama|చౌరువిక్రమ
Chaayaa devi|చాయా దేవి
Chandrashekhara Sarasvatiye|చంద్రశేఖర సరస్వతియే
Chandrashekharam|చంద్రశేఖరం
Chaya Devi|ఛయా దేవి
Chidambaranai Digambaranai|చిమ్బరంతై దిగంబరనై
Chintayami Satatam Hastivadanam|చింతయామి సతతం హస్త్వవదనం
Chirakalam Nammitini|చిరకలాపం నమమితిని
Cidagni Kunda|చిదగ్ని కుంద
Cidagni kunda|చిదగ్ని కుంద
Cidambara Darishanama|చిదంబర దరిశనమ
Cidambara Nataraja Murtim|చిదంబర నటరాజ మూర్తిఁ
Cidambaram|చిదంబరం
Cidambaram Ena Manam|చిదంబరం ేన మనమ్
Cidambaram Enrorutaram|చిదంబరం ఎన్రుతరం
Cidambaram Harahara|చిదంబరం హరహర
Cidambaram Poghamal|చిదంబరం పోఘమల్
Cidambaram Poi|చిదంబరం పోని
Cidambaram ena ninaivaai|చిదంబరం ఏన నిన్నైవాయ్
